run,start_x,start_y,x,y,height,iterations,final_step,evaluations
Multi-Start 1,-2.3333333333333335,2.333333333333333,-2.2044270833333335,2.204427083333333,1.11257,13,0.0009765625,60
Multi-Start 2,-2.3333333333333335,-2.3333333333333335,-2.2044270833333335,-2.2044270833333335,1.11257,13,0.0009765625,60
Multi-Start 3,2.333333333333333,2.333333333333333,2.204427083333333,2.204427083333333,1.11257,13,0.0009765625,60
Multi-Start 4,2.333333333333333,-2.3333333333333335,2.204427083333333,-2.2044270833333335,1.11257,13,0.0009765625,60
"Start (2, -4)",2.0,-4.0,2.203125,-2.203125,1.112569,19,0.0009765625,84
Multi-Start 5,-3.3333333333333335,-3.0,-2.9563802083333335,-2.95703125,1.012688,27,0.0009765625,115
Multi-Start 6,3.333333333333332,-3.0,2.956380208333332,-2.95703125,1.012688,27,0.0009765625,117
"Start (0.2, -2)",0.2,-2.0,0.0007812500000000111,-2.1328125,0.473847,22,0.0009765625,97
